*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Presets	Presets	Előre Beálított	Presets	Preajustes	Prestabilite	Predefiniowane	Předvolby		Predefinições	Predefinições	Seadistused	Préréglages	Préconfigurations	저장한 설정	预设	預設	Opcije	Пресеты	Önayarlar	Esiasetukset	Настройки	Пресети	Presets	Presets	Presets	プリセット	išankstiniai nustatymai	المسبقة	Алдын ала орнатулар	Forhåndsinnstillinger	Preset	प्रीसेट	ที่ตั้งไว้ล่วงหน้า	Paket	წარმოგიდგენთ	Presets	Cài Đặt Trước	Προεπιλογές	Прасэты	Darčeky	Förinställningar	از پیش تنظیم شده ها
Daily Market	Daily Market	Napi Bolt	Dagelijkse Markt	Mercado diario	Oferte zilnice	Dzienny market	Obchod		Daily Market	Daily Market	Päevane Pood	Magasin quotidien	Marché quotidien	데일리 마켓	日常市场	日常市場	Dnevno tržište	Онлайн магазин	Günlük Pazar	Päivittäiset markkinat	Дневен Магазин	Щоденний магазин	Täglicher Markt	Mercat diari	Negozio Giornaliero	デイリーマーケット	Dienos rinka	السوق اليومي	Күнделікті нарық	Daglig marked	Daily market	दैनि क बाजार	ร้านค้าออนไลน์	pasar harian	მაღაზია	Tirgus	Chợ Hằng Ngày	Καθημερινή Αγορά	Штодзённы рынак	Obchod	Daglig marknad	فروشگاه روزانه
Logged In	Logged In	Bejelentkezve	Ingelogt	Conectado	Logat	Zalogowano	Příhlášený		Logado	Com sessão iniciada	Sisse logitud	Connecté	Connecté	로그인됨	已登录	已登錄	Prijavljeni	Вошёл	Giriş Yapıldı	Kirjaudu sisään	Вписан	Ввійти	Eingeloggt	Sessió Iniciada	Accesso Eseguito	ログイン	Prisijungta	تسجيل الدخول	жүйеге кірді	Logget inn	Nakalog-in	मेंलॉग इन	เข้าสู่ระบบ	Masuk	შესულია	Reģistrēts	Đã Đăng Nhập	Συνδέθηκες	Ўвайшлі ў	Prihlásený	Inloggad	وارد شدید
Logged Out	Logged Out	Kijelentkezve	Uitgelogt	Desconectado	Delogat	Wylogowano	Odhlášený		Não Logado	Sem sessão iniciada	Välja logitud	Déconnecté	Déconnecté	로그아웃됨	已登出	已登出	Odjavljeni	Вышел	Çıkış Yapıldı	Kirjauduttu ulos	Отписан	Вийдено	Ausgeloggt	Sessió tancada	Accesso non Eseguito	ログアウトしました	Atsijungęs	تسجيل الخروج	жүйеден шықты	Logget av	Naka-log out	बाहर आ गये	ออกจากระบบ	Keluar	გასულია	Nav Reģistrēts	Đã Đăng Xuất	Αποσυνδέθηκες	Выйшлі з сістэмы	Odhlásený	Utloggad	خارج شدید
Logout	Logout	Kijelentkezés	Loguit	Cerrar sesión	Deloghează-te	Wylogowanie	Odhlásit se		Deslogar	Terminar Sessão	Logi Välja	Déconnexion	Se déconnecter	로그아웃	登出	登出	Odjavi se	Выйти	Çıkış Yap	Kirjaudu ulos	Отписване	Вийти	Ausloggen	Tanca sessió	Disconnetti	ログアウト	Atsijungimas	تسجيل خروج	шығу	Logg ut	Mag-logout	लॉग आउट	ออกจากระบบ	Keluar	გასვლა	Iziet	Đăng Xuất	Αποσύνδεση	Выйсці з сістэмы	Odhlásiť	Logga ut	خروج
Login	Login	Bejelentkezés	Login	Iniciar sesión	Loghează-te	Logowanie	Přihlásit se		Logar	Iniciar Sessão	Logi sisse	Connexion	Connexion	로그인	登录	登錄	Prijavi se	Войти	Giriş Yap	Kirjaudu	Вписване	Ввійти	Einloggen	Inicia sessió	Connetti	ログイン	Prisijungti	تسجيل الدخول	Кіру	Logg inn	Mag log in	लॉग इन करें	เข้าสู่ระบบ	Masuk	შესვლა	Ieiet	Đăng Nhập	Σύνδεση	Увайсці	Prihlásiť	Logga in	ورود
Generator	Generator	Generátor	Generator	Generador	Generator	Generator	Generátor		Gerador	Gerador	Generaator	Générateur	Générateur	발전기	发电机	發電機	Generator	Генератор	Jeneratör	Generaattori	Генератор	Генератор	Generator	Generador	Generatore	発電機	Generatorius	مولد كهرباء	Генератор	Generator	Generator	जनक	เครื่องปั่นไฟ	generator	გენერატორი	Ģenerators	Máy Phát Điện	Γεννήτρια	Генератар	Generátor	Generator	ژنراتور
Progress will be lost	Progress will be lost	A haladásod elveszik!	Vooruitgang gaat verloren	Progreso será perdido	Progresul va fi pierdut	Stracisz postęp	Postup bude ztracen		Progresso será perdido	As mudanças não serão guardadas!	edusammud kaovad	Le progrès sera perdu	Le progrès sera perdu	파일이 사라집니다	进度将会丢失	進度將會丟失	Napredak će biti izgubljen	Прогресс будет утерян	Kaydın silinecek	Edistyminen häviää	Прогресът ще бъде загубен	Прогресс буде втрачено	nicht gespeicherter Fortschritt geht verloren	El progrés es perdrà	I Progressi andranno perduti	進捗は失われます	Pažanga bus prarasta	حفظ سوف تضيع	Прогресс жоғалады	Fremgang vil gå tapt	Mawawala ang pag-unlad	प्रगति खो जाएगी	ความคืบหน้าจะหายไป	Kemajuan akan hilang	ბოლო მოქმედებები წაიშლება	Progress būs zudis	Tiến Trình Sẽ Bị Mất	Η πρόοδος σου θα χαθεί	Прагрэс будзе страчаны	Pokrok bude stratený	Framsteg vill bli förlorade	پیشرفت از دست خواهد رفت
OK	OK	Ok	OK	OK	OK	OK	Ok		OK	OK	OKEI	OK	OK	예	OK	OK	Ok	Ок	Tamam	Ok	Добре	OK	OK	OK	OK	OK	OK	موافق	ок	OK	Sige	ठीक है	ตกลง	Oke	კარგი	OK	OK	Εντάξει	добра	OK	OK	تایید
Cancel	Cancel	Mégse	Annuleren	Cancelar	Anulează	Anuluj	Zrušit		Cancelar	Cancelar	tühista	Annuler	Annuler	아니오	取消	取消	Otkaži	Отмена	İptal et	Peruuta	Отказвам	Відміна	Abbrechen	Cancel·la	Annulla	キャンセル	atšaukti	إلغاء	Болдырмау	Avbryt	Kanselahin	रद्द करना	ยกเลิก	Batal	გაუქმება	Beigt	Hủy Bỏ	Ακύρωση	Адмяніць	Zrušiť	Avbryt	لغو
Supply Overload!	Supply Overload!	Tápegység túltöltés	Overbelasting van het aanbod!	Sobrecarga de energía!	Sursa Supraincărcată!	Przeciążenie zasilacza!	Přetížení dodávky		Fonte Sobrecarregada!	A Fonte está sobrecarregada!	Asjade Ülelaadimine	Surcharge de l'alimentation!	Surcharge de l'alimentation!	과부하가 걸렸습니다!	供应器过载！	供應器過載！	Preopterećenje napajanja	Блок питания перегружен	Güç Kaynağı Aşırı Yüklenme	Virtalähteen Ylikuormitus!	Захранването е претоварено!	Джер. Живл. перевантажено!	Netzteil Überladung!	Subministrament sobrecarregat!	Sovraccarico di Alimentazione!	電源供給量が足りません！	Maitinimo perkrova	العرض الزائد!	Жабдықтың шамадан тыс жүктелуі!	Overbelastning av strømforsyningen	Sobra sa suplay	आपर्तिूर्ति अधि भार!	ซัพพลายโอเวอร์โหลด!	Kelebihan Pasokan!	ენერგიის წყარო დაიწვა	Padeves Pārslodze	Nguồn Quá Tải!	Τροφοδοτικό Υπερφορτώθηκε	Перагрузка пастаўкамі!	Zdroj je preťažený!	Överbelatning av nättaggregat	منبع تغذیه دارای اضافه بار شد
VR Glasses	VR Glasses	VR Szemüveg	VR Bril	Gafas de realidad virtual	Ochelari VR	Okulary VR	VR Brýle		Óculos VR	Óculos VR	VR klaasid	Casque VR	Casque VR	VR 헤드셋	VR眼镜	VR眼鏡	VR naočare	VR очки	Sanal Gerçeklik Gözlükleri	Vr lasit	VR очила	VR Окуляри	VR Brille	Ulleres VR	Visore Realtà Virtuale	VRゴーグル	VR Akiniai	نظارات الواقعيه	VR көзілдірігі	VR-briller	Mga salamin sa VR	वी.आर. चश्मा	แว่น VR	VR	VR სათვალეები	Virtuālās Realitātes Brilles	Kính VR	VR Γυαλιά	VR-акуляры	VR okuliare	VR glasögon	هدست واقعیت مجازی
Double Storey	Double Storey	Kétszintes	Dubbele verdieping	Doble piso	Raft dublu	Dwa piętra	Dvou-patrový		Dois andares	Dois andares	Kahekordne Korrus	Double Étage	Double Étage	2층집	双层屋子	雙層屋子	Dvospratna	Двухэтажный	İki Katlı Ev	Kaksi kerroksnen	Двуетажна	Двоповерховий	Doppel Stockwerk	Doble Planta	Doppia Stanza	二階建て	Dviejų aukštų	طابقين	Екі қабатты	Dobbel-etasje	Dalawang palapag	दो मजिं जिला	สองชั้น	Lantai dua	ორსართულიანი	Divstāvu	Hai Tầng	Διώροφο	Двухпавярховы	Dvojposchodový	Dubble våning	دو طبقه
Unlock	Unlock	Feloldás	Ontsluiten	Desbloquear	Deblocheaza	Odblokuj	Odemknout		Desbloquear	Desbloquear	Ava	Débloquer	Débloquer	잠금 해제	解锁	解鎖	Odključaj	Разблокировать	Kilidini Aç	avata	Отключи	Розблокувати	Entsperren	Desbloqueja	Sblocca	ロックを解除する	Atrakinti	الغاء القفل	Ашу	Lås opp	I-unlock	अनलॉक	ปลดล็อค	Membuka Kunci	გახსნა	Atbloķēt	Mở Khóa	Ξεκλείδωμα	Разблакіраваць	Odomknúť	Låss up	باز کردن قفل
Water Cooler	Water Cooler	Vízhűtés	Waterkoeler	Refrigerador de agua	Racitor cu apa	Chłodzenie wodne	Vodní Chladič		Water Cooler	Cooler de Água	Veejahutus	Refroidisseur à eau	Refroidisseur à l'eau	수랭 시스템	水冷散热器	水冷散熱器	Vodeni hladnjak	Водяное охлаждение	Sıvı Soğutma	Vesi jäähdytin	водно охлаждане	Водяний куллер	Wasserkühler	Refredador d'aigua	Raffreddatore ad Acqua	水冷クーラー	Vandens aušintuvas	مبرد مياه	Су салқындатқыш	Vannkjøler	Water cooler	पानी वाला कूलर	ชุดน้ำ	Pendingin air	წყლის გაგრილება	Ūdens Cooler	Tản Nhiệt Nước	Υδρόψυξη	Кулер для вады	Vodný chladič	Vatten kylare	خنک کننده آبی
Bitcoin	Bitcoin	Bitcoin	Bitcoin	Bitcoin	Bitcoin	Bitcoin	Bitcoin		Bitcoin	Bitcoin	Bitcoin	Bitcoin	Bitcoin	비트코인	比特币	比特幣	Bitkoin	Биткоин	Bitcoin	Bitcoin	биткойн	Біткоїн	Bitcoin	Bictoin	Bitcoin	ビットコイン	Kriptovaliuta	بيتكوين	Bitcoin	Bitcoin	Bitcoin	Bitcoin	บิตคอยน์	Bitcoin	ბიტკოინი	Bitcoin	Bitcoin	Bitcoin Miner	Біткойн	Bitcoin	Bitcoin	بیتکوین
Cash	Cash	Egyenleg	Cash	Efectivo	Bani	Pieniądze	Peníze		Dinheiro	Dinheiro	Raha	Argent	Argent	현금	现金	現金	Novac	Деньги	Nakit	Raha	Пари	Готівка	Bargeld	Efectiu	Soldi	現金	Pinigai	السيولة النقدية	Қолма-қол ақша	Penger	Cash	नकद	เงินสด	Uang	ლარი	Nauda	Tiền	Χρήματα	Наяўныя грошы	Peniaze	Pengar	پول
Cash Out	Cash Out	Kiváltás	Uitbetalen	Retirar dinero	Retrage	Wybierz	Vyplatit		Retirar	Retirar	Väljasta	Retirer Argent	Encaisser	출금	兑现	兌現	Plaćenje	Вывести	Para çek	Nosta käteistä	Изтегляне	Зняти	Auszahlen	Retir d'efectiu	Ottieni Soldi	現金化する	Pinigų išėmimas	صرف	Қолма-қол ақша етіп беру	Utbetal	Cash out	नकदी नि कलना	ถอนเงินสด	Uang keluar	გადახდა	Izņemt naudu	Rút Tiền	Εξαργυρώστε	Выдача грошай	Vyplatiť	Ta ut pengar	برداشت
Game Over	Game Over	A játék vége!	Afgelopen uit	Fin del juego	Sfarsitul Jocului	Koniec gry	Konec hry		Fim de Jogo	Fim de Jogo	Mäng läbi	Partie Terminée	Partie Terminée	Game Over	游戏结束	游戲結束	Kraj igre	Игра окончена	Oyun Bitti	Peli ohi	Край на играта	Гру Завершено	Game Over	Fi del joc	Fine Gioco	ゲームオーバー	Žaidimas Baiktas	انتهت اللعبة	Ойын аяқталды	Game Over	Tapos na ang laro	खेल खत्म	จบเกม	permainan telah berakhir	თამაში დამთავრდა	Spēle beigusies	Game Over	Τέλος Παιχνιδιού	Гульня скончана	Koniec hry	Du förlora	باختید
Settings	Settings	Beállítások	Instellingen	Ajustes	Setari	Ustawienia	Nastavení		Configurações	Definições	Seaded	Options	Paramètres	설정	设置	設置	Podešavanja	Настройки	Ayarlar	Asetukset	Настройки	Налаштування	Einstellungen	Configuració	Impostazioni	設定	Nustatymai	إعدادات	Параметрлер	Innstillinger	mga setting	समायोजन	การตั้งค่า	Pengaturan	პარამეტრები	Iestatījumi	Cài Đặt	Ρυθμίσεις	Налады	Nastavenia	Inställningar	تنظیمات
Frame Rate	Frame Rate	Frissítési ráta	Framesnelheid	Fotogramas por segundo (FPS)	FPS	Klatki/s	Snímky za sekundu		FPS	FPS	Kaadrisagedus	FPS	Fréquence D'image	FPS	帧率	幀率	Frejm rejt	FPS	Kare Sayısı	Ruudunpäivitysnopeus	честота на кадрите	Частота кадрів	Bildfrequenz	Velocitat de fotogrames	Velocità fotogrammi	フレームレート	Kadrų greitis	معدل الإطار	Кадр жиілігі	Bildefrekvens	Frame rate	फ्रेम रेट	อัตราเฟรมเรต	Kecepatan Bingkai	კადრების სიხშირე	FPS	Khung Hình Trên Giây	Ρυθμός Καρέ	Частата кадраў	Snímky za sekundu	Bildfrekvens	نرخ فریم
Low	Low	Alacsony	Laag	Bajo	Minim	Niskie	Malá		Baixo	Baixo	Madal	Bas	Bas	낮음	低	低	Nisko	Низкий	Düşük	Matala	ниско	Низька	Niedrig	Baix	Basso	低い	Žemas	قليل	Төмен	Lav	mababa	कम	ต่ำ	Rendah	დაბალი	Zems	Thấp	Χαμηλά	Нізкі	Nízka	Låg	کم
High	High	Magas	Hoog	Alto	Mare	Wysokie	Vysoká		Alto	Alto	Kõrge	Haut	Haut	높음	高	高	Visoko	Высокий	Yüksek	Korkea	Високо	Висока	Hoch	Alt	Alto	高い	Aukštas	اعلى	Жоғары	Høy	mataas	ऊँचा	สูง	Tinggi	მაღალი	Augsts	Cao	Υψηλά	Высокі	Vysoká	Hög	زیاد
Show FPS	Show FPS	FPS Megjelenítése	FPS Weergeven	Mostrar FPS	Arata FPS	Pokaż FPS	Ukázat FPS		Mostrar FPS	Mostrar FPS	Näita FPS	Afficher les FPS	Afficher les FPS	FPS 표시	显示FPS	顯示FPS	Prikaži FPS	Показать FPS	FPS i göster	Näytä fps	Показване FPS	Показувати FPS	Zeige FPS	Mostrar FPS	Mostra FPS	fpsを表示	Rodyti fps	اظهار عدد الكدرات في الثانية	FPS көрсету	Vis bildefrekvens	ipakita ang FPS	शो एफपीएस	แสดง FPS	Perlihatkan FPS	FPS-ის გამოჩენა	Rādīt FPS	Hiện FPS	Προβολή Καρέ	Паказаць FPS	Ukázať FPS	Vissa Bildfrekvens	نمایش FPS
Keyboard	Keyboard	Billentyűzet	Toetsenbord	Teclado	Tastatura	Klawiatura	Klávesnice		Teclado	Teclado	Klaviatuur	Clavier	Clavier	키보드	键盘	鍵盤	Tastatura	Клавиатура	Klavye	Näppäimistö	Клавиатура	Клавіатура	Tastatur	Teclat	Tastiera	キーボード	Klaviatura	لوحة المفاتيح	Пернетақта	Tastatur	Keyboard	कीबोर्ड	คีย์บอร์ด	keyboard	კლავიატურა	Klaviatūra	Bàn Phím	Πληκτρολόγιο	Клавіятура	Klávesnica	Tagenbord	صفحه کلید
Not enough cash	Not enough cash	Nincs elég pénzed!	Niet genoeg contant geld	No tienes suficiente efectivo	Nu sunt suficienți bani	Za mało pieniędzy	Nedostatek peněz		Dinheiro Insuficiente	Dinheiro Insuficiente	Pole piisavalt raha!	Pas assez d'argent	Pas assez d'argent	돈이 모자랍니다	现金不足	現金不足	Nemate dovoljno novca	Недостаточно денег	Yeterince para yok.	Ei tarpeeksi rahaa	Няма достатъчно пари	Недостатньо грошей	Nicht genug Geld	No tens suficient efectiu	Soldi insufficenti	現金が足りません	Nepakanka grynųjų pinigų	ليست نقودا كافية	Қолма-қол ақша жеткіліксіз	Ikke nok penger	Hindi sapat ang pera	पर्या प्त नकद नहीं	เงินสดไม่พอ	Tidak Cukup Uang	არასაკმარისი თანხა ბალანსზე	Nav pietiekami daudz naudas	Không Đủ Tiền	Ανεπαρχές Χρήματα	Не хапае грошай	Nedostatok peňazí	Inte tillräkligt med pengar	پول کافی نیست
